Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Eupithecia albicapitata;NoMatch;;;;;
Oegoconia deauratella;Exact;214577;Oegoconia deauratella;(Herrich-Schäffer, 1854);;Bofast och reproducerande
Oegoconia deauratella;Exact;214577;Oegoconia deauratella;(Herrich-Schäffer, 1854);;Bofast och reproducerande
Metalampra cinnamomea;Exact;214400;Metalampra cinnamomea;(Zeller, 1939);;Bofast och reproducerande
Acronicta tridens;Exact;100173;Acronicta tridens;(Denis & Schiffermüller, 1775);treuddtecknat aftonfly;Bofast och reproducerande
Perittia herrichiella;Exact;214304;Perittia herrichiella;(Herrich-Schäffer, 1855);skarp tryminerarmal;Bofast och reproducerande
Drepana bilineata;NoMatch;;;;;
Eriocrania semipurpurella;Exact;213790;Eriocrania semipurpurella;(Stephens, 1835);"större tunnvingepurpurmal; Lampronia semipurpurella Stephens, 1835; björkmal";Bofast och reproducerande
Agriphila selasella;Exact;215416;Agriphila selasella;(Hübner, 1813);strandgröegräsmott;Bofast och reproducerande
Patania ruralis;Exact;215501;Patania ruralis;(Scopoli, 1763);"allmänt nässelmott; Pleuroptya ruralis (Scopoli, 1763)";Bofast och reproducerande
Dichrorampha sedatana;Exact;215226;Dichrorampha sedatana;Busck, 1906;;Bofast och reproducerande
Caryocolum proximum;Exact;100552;Caryocolum proximum;(Haworth, 1828);Caryocolum proxima (Haworth, 1828);Bofast och reproducerande
Celypha rivulana;Exact;215016;Celypha rivulana;(Scopoli, 1763);ljusrandbrokvecklare;Bofast och reproducerande
Diurnea lipsiella;Exact;214389;Diurnea lipsiella;(Denis & Schiffermüller, 1775);höstvårmal;Bofast och reproducerande
Teleiodes vulgella;Exact;214657;Teleiodes vulgellus;(Denis & Schiffermüller, 1775);"hagtornbladkantmal; Teleiodes vulgella (Denis & Schiffermüller, 1775)";Bofast och reproducerande
Agnoea elsae;Exact;214580;Agnoea elsae;(Svensson, 1982);Pseudatemelia elsae Svensson, 1982;Bofast och reproducerande
Eriocrania unimaculella;Exact;213785;Eriocrania unimaculella;(Zetterstedt, 1839);"tydlig björkpurpurmal; Heringocrania unimaculella (Zetterstedt, 1839); Adela unimaculella Zetterstedt, 1839";Bofast och reproducerande
Cydia succedana;Exact;215180;Cydia succedana;(Denis & Schiffermüller, 1775);kärringtandvecklare;Bofast och reproducerande
Celypha lacunana;Exact;215014;Celypha lacunana;(Denis & Schiffermüller, 1775);allmän brokvecklare;Bofast och reproducerande
Rhyacionia duplana;Exact;215143;Rhyacionia duplana;(Hübner, 1813);tallkulturvecklare;Bofast och reproducerande
Coleophora discordella;Exact;214478;Coleophora discordella;Zeller, 1849;kärringtandsäckmal;Bofast och reproducerande
Rhyacionia duplana;Exact;215143;Rhyacionia duplana;(Hübner, 1813);tallkulturvecklare;Bofast och reproducerande
Hyles gallii;Exact;201198;Hyles gallii;(Rottemburg, 1775);"Celerio gallii (Rottemburg, 1775); brunsprötsvärmare; Sphinx gallii Rottemburg, 1775; Hyles galii";Bofast och reproducerande
